Benchmark,Run,Filename,NumRepairs,RepairLimit,TimeToFirst,Runtime,Timeout,TimedOut,NodesExplored,Effectiveness
addedVarsGyro_Var1,1,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1,1,0.082,0.082,600,False,5,0.2
addedVarsGyro_Var1,2,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1,1,0.085,0.085,600,False,5,0.2
addedVarsGyro_Var1,3,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1,1,0.084,0.085,600,False,5,0.2
addedVarsGyro_Var1,4,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1,1,0.11,0.11,600,False,5,0.2
addedVarsGyro_Var1,5,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1,1,0.084,0.084,600,False,5,0.2
addedVarsGyro_Var1,6,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1,1,0.102,0.102,600,False,5,0.2
addedVarsGyro_Var1,7,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1,1,0.088,0.088,600,False,5,0.2
addedVarsGyro_Var1,8,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1,1,0.111,0.111,600,False,5,0.2
addedVarsGyro_Var1,9,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1,1,0.087,0.087,600,False,5,0.2
addedVarsGyro_Var1,10,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1,1,0.103,0.104,600,False,5,0.2
addedVarsGyro_Var1,1,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS5.spectra,1,1,0.087,0.087,600,False,5,0.2
addedVarsGyro_Var1,2,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS5.spectra,1,1,0.082,0.082,600,False,5,0.2
addedVarsGyro_Var1,3,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS5.spectra,1,1,0.084,0.085,600,False,5,0.2
addedVarsGyro_Var1,4,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS5.spectra,1,1,0.103,0.103,600,False,5,0.2
addedVarsGyro_Var1,5,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS5.spectra,1,1,0.086,0.086,600,False,5,0.2
addedVarsGyro_Var1,6,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS5.spectra,1,1,0.078,0.078,600,False,5,0.2
