Benchmark,Run,Filename,NumRepairs,RepairLimit,TimeToFirst,Runtime,Timeout,TimedOut,NodesExplored,DuplicateNodes
addedVarsGyro_Var1,10,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.1761779158841818,0.176382953999564,600.0,False,2,0
addedVarsGyro_Var1,1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.1821276249829679,0.182322118896991,600.0,False,2,0
addedVarsGyro_Var1,2,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.3030276589561254,0.3032442580442875,600.0,False,2,0
addedVarsGyro_Var1,3,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.1536719100549817,0.153890959918499,600.0,False,2,0
addedVarsGyro_Var1,4,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.2004943450447172,0.2006115589756518,600.0,False,2,0
addedVarsGyro_Var1,5,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.1779402149841189,0.1780542549677193,600.0,False,2,0
addedVarsGyro_Var1,6,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.1607855469919741,0.1609165340196341,600.0,False,2,0
addedVarsGyro_Var1,7,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.2124131398741156,0.212604948785156,600.0,False,2,0
addedVarsGyro_Var1,8,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.1615993420127779,0.1618135750759393,600.0,False,2,0
addedVarsGyro_Var1,9,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.3197298950981349,0.3199241370894015,600.0,False,3,0
addedVarsGyro_Var1,10,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.1624815941322595,0.1626907680183649,600.0,False,2,0
addedVarsGyro_Var1,1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE5.spectra,1,1,0.1760046158451587,0.1761194798164069,600.0,False,2,0
addedVarsGyro_Var1,2,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE5.spectra,1,1,0.1947783848736435,0.1949928610119968,600.0,False,2,0
addedVarsGyro_Var1,3,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE5.spectra,1,1,0.2571578540373593,0.2573481339495629,600.0,False,2,0
addedVarsGyro_Var1,4,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE5.spectra,1,1,0.2422993271611631,0.2424449459649622,600.0,False,2,0
addedVarsGyro_Var1,5,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE5.spectra,1,1,0.2048331268597394,0.2049432848580181,600.0,False,2,0
addedVarsGyro_Var1,6,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE5.spectra,1,1,0.1872437170241028,0.1873575439676642,600.0,False,2,0
addedVarsGyro_Var1,7,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE5.spectra,1,1,0.200028670951724,0.2001552879810333,600.0,False,2,0
addedVarsGyro_Var1,8,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE5.spectra,1,1,0.1906313949730247,0.1907483809627592,600.0,False,2,0
addedVarsGyro_Var1,9,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE5.spectra,1,1,0.1782722361385822,0.1783819459378719,600.0,False,2,0
addedVarsGyro_Var1,10,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE5.spectra,1,1,0.3389619397930801,0.3391579648014158,600.0,False,3,0
addedVarsGyro_Var1,1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS1.spectra,1,1,0.1872496819123625,0.1874428070150315,600.0,False,2,0
addedVarsGyro_Var1,2,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS1.spectra,1,1,0.334903190145269,0.3351015581283718,600.0,False,3,0
addedVarsGyro_Var1,3,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS1.spectra,1,1,0.1395945630501955,0.1397098160814494,600.0,False,2,0
addedVarsGyro_Var1,4,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS1.spectra,1,1,0.1437349079642444,0.1438523340038955,600.0,False,2,0
addedVarsGyro_Var1,5,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS1.spectra,1,1,0.136943289078772,0.1370584270916879,600.0,False,2,0
addedVarsGyro_Var1,6,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS1.spectra,1,1,0.1595147051848471,0.1596618911717087,600.0,False,2,0
addedVarsGyro_Var1,7,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS1.spectra,1,1,0.1361962279770523,0.1363455620594322,600.0,False,2,0
addedVarsGyro_Var1,8,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS1.spectra,1,1,0.1477469559758901,0.1478678348939865,600.0,False,2,0
addedVarsGyro_Var1,9,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS1.spectra,1,1,0.1888439538888633,0.1890287459827959,600.0,False,2,0
addedVarsGyro_Var1,10,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS1.spectra,1,1,0.187163271009922,0.1873234321828931,600.0,False,2,0
addedVarsGyro_Var1,1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS2.spectra,1,1,0.2695142191369086,0.2696660431101918,600.0,False,3,0
addedVarsGyro_Var1,2,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS2.spectra,1,1,0.1672968128696084,0.1674110770691186,600.0,False,2,0
addedVarsGyro_Var1,3,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS2.spectra,1,1,0.2823468849528581,0.28247538395226,600.0,False,3,0
addedVarsGyro_Var1,4,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS2.spectra,1,1,0.1838982400950044,0.1840446719434112,600.0,False,2,0
addedVarsGyro_Var1,5,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS2.spectra,1,1,0.255483124172315,0.2555980491451919,600.0,False,3,0
addedVarsGyro_Var1,6,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS2.spectra,1,1,0.2003026558086276,0.2004207719583064,600.0,False,2,0
addedVarsGyro_Var1,7,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS2.spectra,1,1,0.1466392860747873,0.1467528780922293,600.0,False,2,0
addedVarsGyro_Var1,8,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS2.spectra,1,1,0.1846207620110362,0.1847670299466699,600.0,False,2,0
addedVarsGyro_Var1,9,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS2.spectra,1,1,0.1552127161994576,0.1553807770833373,600.0,False,2,0
addedVarsGyro_Var1,10,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS2.spectra,1,1,0.1627706519793719,0.1628834819421172,600.0,False,2,0
addedVarsGyro_Var1,1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS3.spectra,1,1,0.154849621001631,0.1549650619272142,600.0,False,2,0
addedVarsGyro_Var1,2,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS3.spectra,1,1,0.2705187101382762,0.2706346011254936,600.0,False,3,0
addedVarsGyro_Var1,3,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS3.spectra,1,1,0.2700091050937772,0.2701451361645013,600.0,False,3,0
addedVarsGyro_Var1,4,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS3.spectra,1,1,0.1927495789714157,0.1929406588897109,600.0,False,2,0
addedVarsGyro_Var1,5,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS3.spectra,1,1,0.1875020680017769,0.1877130700740963,600.0,False,2,0
addedVarsGyro_Var1,6,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS3.spectra,1,1,0.1818585530854761,0.1819746471010148,600.0,False,2,0
addedVarsGyro_Var1,7,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS3.spectra,1,1,0.2519056568853557,0.2520183508750051,600.0,False,3,0
addedVarsGyro_Var1,8,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS3.spectra,1,1,0.1379053960554301,0.1380213950760662,600.0,False,2,0
addedVarsGyro_Var1,9,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS3.spectra,1,1,0.1669513310771435,0.1670598001219332,600.0,False,2,0
addedVarsGyro_Var1,10,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS3.spectra,1,1,0.1640135569032281,0.1641284029465168,600.0,False,2,0
addedVarsGyro_Var1,1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1,1,0.3638639191631228,0.3639849291648716,600.0,False,3,0
addedVarsGyro_Var1,2,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1,1,0.1582727578934282,0.1583871869370341,600.0,False,2,0
