Benchmark,Filename,DepthToFirst,DuplicateNodes,Effectiveness,MaxDepth,MinNumVariables,NodesExplored,NodesToFirst,NumFullyNonIOSeparable,NumInterpolantsComputed,NumNonStateSeparable,NumRepairs,NumYUnsat,RefsPerDepth,Runtime,TimeToFirst,TimedOut,TotalTimeCounterstrategy,TotalTimeCounterstrategyComputed,TotalTimeGenerationMethod,UniqueEffectiveness,UniqueNodesExplored,UniqueSols,Runs
SYNTECH15-1UNREAL,HumanoidLTL_776_Humanoid_3.spectra,1.0,0.0,0.03720238095238095,1.4,2.0,6.3,2.6666666666666665,0.0,4.1,0.5,0.3,0.0,2.475,600.0952455921979,77.05076743566558,0.9,406.07355314150044,640.5662392605998,0.536505113000021,0.03720238095238095,6.3,0.3,10
SYNTECH15-1UNREAL,HumanoidLTL_776_Humanoid_4.spectra,,0.0,0.0,1.0,,8.2,,0.0,8.2,0.0,0.0,0.0,4.1,621.8869217739004,,1.0,610.4853599846858,685.1633237285874,1.690712806300871,0.0,8.2,0.0,10
SYNTECH15-1UNREAL,HumanoidLTL_776_Humanoid_5.spectra,1.5555555555555556,0.0,0.05125018716673696,1.9,1.0,26.2,14.777777777777779,0.0,24.8,1.2,1.4,0.0,9.016666666666667,623.5082512609021,338.32517669133654,1.0,569.8055665173931,607.3700932140949,4.90936193857924,0.05125018716673696,26.2,1.4,10
SYNTECH15-1UNREAL,HumanoidLTL_874_Humanoid_1.spectra,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,1.5,0.790239186600229,0.5814879553006904,0.0,0.054989499500516056,0.054989499500516056,0.04666801330095038,1.0,3.0,2.0,10
SYNTECH15-1UNREAL,HumanoidLTL_874_Humanoid_2.spectra,1.0,0.0,0.6666666666666666,0.9,2.0,1.9,2.0,0.0,0.9,0.0,0.6,0.0,1.0,542.2986157082975,463.78649758816755,0.4,428.1725347651998,539.0170619158977,0.19733002079810827,0.6666666666666666,1.9,0.6,10
SYNTECH15-1UNREAL,HumanoidLTL_874_Humanoid_3.spectra,1.0,0.0,0.08838383838383838,1.6,1.0,6.4,2.25,0.0,5.0,0.7,0.8,0.0,2.35,655.2057958737947,46.21409815924562,1.0,475.30178031619437,767.4894365877917,0.6065007527045962,0.08838383838383838,6.4,0.8,10
SYNTECH15-1UNREAL,HumanoidLTL_874_Humanoid_4.spectra,,0.0,0.0,1.2,,8.3,,0.0,8.2,0.0,0.0,0.0,3.8333333333333335,628.1890263899047,,1.0,602.7183880282952,700.2960087017985,1.905062668099708,0.0,8.3,0.0,10
SYNTECH15-1UNREAL,HumanoidLTL_874_Humanoid_5.spectra,1.8,0.0,0.022434343434343435,2.0,1.0,25.4,16.8,0.0,24.9,0.9,0.5,0.0,8.466666666666667,614.3835759596034,454.82592460700255,1.0,560.1065922447021,590.4409959280049,4.926348914894333,0.022434343434343435,25.4,0.5,10
SYNTECH15-1UNREAL,PCarLTL_Unrealizable_V_20_882_PCar_fixed_1.spectra,,0.0,0.0,0.6,,2.2,,0.0,1.0,0.0,0.0,1.2,1.3,0.20895221499813488,,0.0,0.03325154400226888,0.03325154400226888,0.029302243199344918,0.0,2.2,0.0,10
SYNTECH15-1UNREAL,PCarLTL_V_10_866_PCar_fixed_3.spectra,2.0,0.0,0.712720685082608,2.1,5.0,177.3,14.6,0.0,17.8,0.0,125.7,33.8,54.075,16.347693133400025,4.177846259799116,0.0,1.365614693512179,1.365614693512179,1.5965345210017396,0.712720685082608,177.3,125.7,10
