Benchmark,Run,Filename,NumRepairs,RepairLimit,TimeToFirst,Runtime,Timeout,TimedOut,NodesExplored,DuplicateNodes,NumInterpolantsComputed,NumNonStateSeparable,Effectiveness,NodesToFirst,DepthToFirst,NumYUnsat,NumYUnsatNoFalse,NumFullyNonIOSeparable,MinNumVariables
AMBA-1,4,inputs/AMBA-1/amba02_nosafety1.spectra,0,-1,,34.4165570849982,600.0,False,12,0,10,9,0.0,,,0,0,0,
AMBA-1,5,inputs/AMBA-1/amba02_nosafety1.spectra,0,-1,,3.116140988000552,600.0,False,2,0,1,0,0.0,,,0,0,0,
AMBA-1,6,inputs/AMBA-1/amba02_nosafety1.spectra,0,-1,,13.293504286997631,600.0,False,7,0,4,2,0.0,,,0,0,0,
AMBA-1,7,inputs/AMBA-1/amba02_nosafety1.spectra,0,-1,,22.451405046998843,600.0,False,11,0,7,4,0.0,,,0,0,0,
AMBA-1,8,inputs/AMBA-1/amba02_nosafety1.spectra,0,-1,,3.141641661000904,600.0,False,2,0,1,0,0.0,,,0,0,0,
AMBA-1,9,inputs/AMBA-1/amba02_nosafety1.spectra,0,-1,,13.884932523000316,600.0,False,6,0,4,3,0.0,,,0,0,0,
AMBA-1,10,inputs/AMBA-1/amba02_nosafety1.spectra,0,-1,,22.664862500001615,600.0,False,10,0,7,5,0.0,,,0,0,0,
AMBA-1,1,inputs/AMBA-1/amba02_nosafety_nofairness.spectra,24,-1,0.614973221992841,93.37173527901176,600.0,False,52,0,21,4,0.46153846153846156,3.0,1.0,0,0,0,1.0
AMBA-1,2,inputs/AMBA-1/amba02_nosafety_nofairness.spectra,4,-1,0.3762144679203629,1.091255064937286,600.0,False,9,0,2,0,0.4444444444444444,2.0,1.0,0,0,0,1.0
AMBA-1,3,inputs/AMBA-1/amba02_nosafety_nofairness.spectra,86,-1,0.3662598310038447,659.1223708449397,600.0,True,309,0,164,27,0.2783171521035599,2.0,1.0,0,0,0,1.0
